,candidate_f0,weighted_avg_f0,weighted_avg_DM,cluster_snr,stacked_value,n_harmonics,harmonics_detected,harmonic_freqs_Hz,harmonic_snrs
0,1.8666408622233868,1.858371016052502,42.93214535780239,472.1457362417495,374.0908160258293,12,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)]","[np.float64(1.8666408622233868), np.float64(3.6999488519070702), np.float64(5.5665897141304574), np.float64(7.433230576353844), np.float64(9.299871438577231), np.float64(11.133179428260915), np.float64(12.999820290484301), np.float64(14.866461152707688), np.float64(16.733102014931074), np.float64(18.599742877154462), np.float64(20.46638373937785), np.float64(22.333024601601235)]","[np.float64(221.96078677008262), np.float64(149.09438492225428), np.float64(157.0403634450869), np.float64(205.90352325959648), np.float64(163.96107042038588), np.float64(155.3221982592361), np.float64(169.86016135700407), np.float64(206.83706559676955), np.float64(107.92963466077904), np.float64(55.86295334312987), np.float64(31.817546025421148), np.float64(9.971119435702823)]"
1,0.9333204311116934,0.9297639746634353,42.92139036669911,464.55491676167355,374.0908160258293,10,"[np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(10), np.int64(12), np.int64(14), np.int64(16)]","[np.float64(1.8666408622233868), np.float64(2.866627038414487), np.float64(3.6999488519070702), np.float64(4.733267900637874), np.float64(5.5665897141304574), np.float64(7.433230576353844), np.float64(9.299871438577231), np.float64(11.133179428260915), np.float64(12.999820290484301), np.float64(14.866461152707688)]","[np.float64(221.96078677008262), np.float64(34.57086420854809), np.float64(149.09438492225428), np.float64(4.5012169578573635), np.float64(157.0403634450869), np.float64(205.90352325959648), np.float64(163.96107042038588), np.float64(155.3221982592361), np.float64(169.86016135700407), np.float64(206.83706559676955)]"
2,0.9333204311116934,0.9298843124933927,44.72205745072492,443.1800736225113,363.3652659853506,10,"[np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(10), np.int64(12), np.int64(14), np.int64(15), np.int64(16)]","[np.float64(1.8666408622233868), np.float64(2.866627038414487), np.float64(3.6999488519070702), np.float64(5.5665897141304574), np.float64(7.433230576353844), np.float64(9.299871438577231), np.float64(11.133179428260915), np.float64(12.999820290484301), np.float64(14.033139339215104), np.float64(14.866461152707688)]","[np.float64(224.80428750702853), np.float64(41.87487322694094), np.float64(154.00701783193418), np.float64(159.8475279487464), np.float64(195.1687601475172), np.float64(146.03051927258366), np.float64(146.63941529571832), np.float64(162.39144286205757), np.float64(3.81786974008705), np.float64(166.87673241563147)]"
3,1.8666408622233868,1.858440252740546,44.68048795086464,403.06459748840393,365.2677434265387,15,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(16)]","[np.float64(1.8666408622233868), np.float64(3.6999488519070702), np.float64(5.5665897141304574), np.float64(7.433230576353844), np.float64(9.299871438577231), np.float64(11.133179428260915), np.float64(12.999820290484301), np.float64(14.866461152707688), np.float64(16.733102014931074), np.float64(18.599742877154462), np.float64(20.46638373937785), np.float64(22.333024601601235), np.float64(24.199665463824623), np.float64(28.06627867843021), np.float64(29.832920923034486)]","[np.float64(224.80428750702853), np.float64(154.00701783193418), np.float64(159.8475279487464), np.float64(195.1687601475172), np.float64(146.03051927258366), np.float64(146.63941529571832), np.float64(162.39144286205757), np.float64(166.87673241563147), np.float64(90.24554512194776), np.float64(43.60149126850311), np.float64(42.78885979428417), np.float64(14.377044358388856), np.float64(3.7205586417548404), np.float64(7.195216739785864), np.float64(3.3680543125023186)]"
4,0.9333204311116934,0.9298312819904914,41.908665333527466,399.96559489449476,369.98746968839305,10,"[np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(10), np.int64(12), np.int64(14), np.int64(16)]","[np.float64(1.8666408622233868), np.float64(2.866627038414487), np.float64(3.6999488519070702), np.float64(4.733267900637874), np.float64(5.5665897141304574), np.float64(7.433230576353844), np.float64(9.299871438577231), np.float64(11.133179428260915), np.float64(12.999820290484301), np.float64(14.866461152707688)]","[np.float64(220.93860866555102), np.float64(29.613272928458024), np.float64(144.09258027744622), np.float64(5.050988746836307), np.float64(148.83906176653386), np.float64(188.82677985886906), np.float64(143.57467863453084), np.float64(126.20760594729263), np.float64(118.97263019435348), np.float64(138.68605855094543)]"
5,1.8666408622233868,1.858443422123159,41.91528453762229,372.86749331984845,369.98746968839305,13,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(14), np.int64(15)]","[np.float64(1.8666408622233868), np.float64(3.6999488519070702), np.float64(5.5665897141304574), np.float64(7.433230576353844), np.float64(9.299871438577231), np.float64(11.133179428260915), np.float64(12.999820290484301), np.float64(14.866461152707688), np.float64(16.733102014931074), np.float64(18.599742877154462), np.float64(20.46638373937785), np.float64(26.132972071127416), np.float64(28.06627867843021)]","[np.float64(220.93860866555102), np.float64(144.09258027744622), np.float64(148.83906176653386), np.float64(188.82677985886906), np.float64(143.57467863453084), np.float64(126.20760594729263), np.float64(118.97263019435348), np.float64(138.68605855094543), np.float64(64.03778033734447), np.float64(36.43853359794574), np.float64(6.935430412121705), np.float64(3.309269191459504), np.float64(3.5338486840463026)]"
6,0.9333204311116934,0.9300833643254564,45.67935464687778,372.7062778950772,351.72940816889565,10,"[np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(16)]","[np.float64(1.8666408622233868), np.float64(2.866627038414487), np.float64(3.6999488519070702), np.float64(5.5665897141304574), np.float64(7.433230576353844), np.float64(9.299871438577231), np.float64(11.133179428260915), np.float64(12.099832731912311), np.float64(12.999820290484301), np.float64(14.866461152707688)]","[np.float64(223.653824664307), np.float64(42.80612562360861), np.float64(150.06780324820508), np.float64(154.54320704994498), np.float64(177.96062383386587), np.float64(118.52827851924235), np.float64(118.28630633657438), np.float64(3.1236421174487132), np.float64(110.02265517114135), np.float64(79.60826982777203)]"
7,1.8666408622233868,1.8584805414822732,45.658652368428626,328.07791911001283,355.6998422016145,14,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(15), np.int64(16)]","[np.float64(1.8666408622233868), np.float64(3.6999488519070702), np.float64(5.5665897141304574), np.float64(7.433230576353844), np.float64(9.299871438577231), np.float64(11.133179428260915), np.float64(12.999820290484301), np.float64(14.866461152707688), np.float64(16.733102014931074), np.float64(18.599742877154462), np.float64(20.46638373937785), np.float64(22.433023219220345), np.float64(28.06627867843021), np.float64(29.832920923034486)]","[np.float64(223.653824664307), np.float64(150.06780324820508), np.float64(154.54320704994498), np.float64(177.96062383386587), np.float64(118.52827851924235), np.float64(118.28630633657438), np.float64(110.02265517114135), np.float64(79.60826982777203), np.float64(43.565893338698444), np.float64(15.798918834966955), np.float64(17.680063062652493), np.float64(5.143333267418185), np.float64(7.195216739785864), np.float64(5.500775580827822)]"
8,5.5665897141304574,5.570183411549801,43.758887526093616,281.93708346739675,428.8015521024321,16,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16)]","[np.float64(5.5665897141304574), np.float64(11.133179428260915), np.float64(16.69976914239137), np.float64(22.299691729061532), np.float64(27.86628144319199), np.float64(33.432871157322445), np.float64(38.999460871452904), np.float64(44.56605058558336), np.float64(50.13264029971382), np.float64(55.73256288638398), np.float64(61.29915260051444), np.float64(66.86574231464489), np.float64(72.43233202877535), np.float64(77.865590252747), np.float64(83.56551145703627), np.float64(89.13210117116672)]","[np.float64(154.42374562163684), np.float64(150.63712730565734), np.float64(128.65400511688415), np.float64(124.43533387446494), np.float64(138.78670170426395), np.float64(95.2494530881157), np.float64(90.1877089070571), np.float64(85.78045073245663), np.float64(46.12097623566139), np.float64(34.34692097645565), np.float64(18.697467941398298), np.float64(22.274191059047073), np.float64(14.56497054845691), np.float64(4.27214181196002), np.float64(10.407439510359248), np.float64(8.909699435711765)]"
9,7.433230576353844,7.430411215119743,43.22046149681169,266.44610638986796,517.3504938324497,14,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14)]","[np.float64(7.433230576353844), np.float64(14.866461152707688), np.float64(22.299691729061532), np.float64(29.699589432875673), np.float64(37.13282000922952), np.float64(44.56605058558336), np.float64(51.999281161937205), np.float64(59.43251173829105), np.float64(66.86574231464489), np.float64(74.29897289099874), np.float64(81.69887059481287), np.float64(89.13210117116672), np.float64(96.69866323767938), np.float64(104.13189381403322)]","[np.float64(205.90352325959648), np.float64(206.83706559676955), np.float64(121.39749675655598), np.float64(133.88597826030315), np.float64(87.65493706518203), np.float64(85.78045073245663), np.float64(63.28306553498702), np.float64(32.5264433183257), np.float64(22.274191059047073), np.float64(11.291386690225307), np.float64(10.233885161381947), np.float64(8.909699435711765), np.float64(3.198560604477818), np.float64(3.773358675784456)]"
